"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Ella Ryan","Quinnipiac",30,144,59,0.409722222222222,0.358693690027937,0.051028532194285
"Dani Bayes","Boise St",30,143,60,0.41958041958042,0.357460119119868,0.0621203004605512
"Jackie Grisdale","Quinnipiac",30,182,72,0.395604395604396,0.357280877374233,0.0383235182301622
"Keira Hanson","Vermont",30,133,56,0.421052631578947,0.35686469420668,0.064187937372267
"Lanie Grant","North Carolina",30,147,63,0.428571428571429,0.356829617892779,0.0717418106786497
"Sydney Shaw","West Virginia",31,200,83,0.415,0.356776117784094,0.0582238822159059
"Emani Jenkins","Troy",29,208,83,0.399038461538462,0.356715932320872,0.0423225292175894
"Cici Hernandez","Mercyhurst",29,209,81,0.38755980861244,0.356223283971388,0.0313365246410526
"Kaylen Nelson","Bradley",29,200,80,0.4,0.355877314171375,0.0441226858286252
"Arianna Patton","McNeese",29,191,75,0.392670157068063,0.355089260065994,0.0375808970020688
"Jazmine Jackson","UL Monroe",30,159,65,0.408805031446541,0.355059424982054,0.053745606464487
"Inés Monteagudo Pardo","Boston U",25,118,50,0.423728813559322,0.354614817967478,0.0691139955918445
"Lee Volker","Marquette",28,132,57,0.431818181818182,0.354600116188602,0.0772180656295799
"Grace Carstensen","FAU",28,146,59,0.404109589041096,0.353308692010572,0.0508008970305239
"Ali Saunders","So Indiana",28,189,76,0.402116402116402,0.353044190290174,0.0490722118262281
"Filipa Barros","CA Baptist",30,125,52,0.416,0.352973311530108,0.063026688469892
"Gabby Casey","Saint Joseph's",27,150,61,0.406666666666667,0.352734580010481,0.0539320866561857
"Amina Gray","Gardner-Webb",31,222,85,0.382882882882883,0.35255233018772,0.0303305526951625
"Vernell Atamah","N'Western St",28,199,77,0.386934673366834,0.352458223419225,0.034476449947609
"Lani White","Utah",30,166,69,0.41566265060241,0.352267579397112,0.0633950712052974
"Bella Pucci","Binghamton",28,155,62,0.4,0.351827047685141,0.0481729523148594
"Ally Schimel","Oregon St",28,94,41,0.436170212765957,0.35102422583451,0.0851459869314471
"Rylee Bess","Purdue FW",30,152,61,0.401315789473684,0.350989979742566,0.0503258097311184
"Skye Belker","Princeton",26,106,45,0.424528301886792,0.35086346513366,0.0736648367531323
"Jada Wynn","UC Irvine",30,173,69,0.398843930635838,0.350674416891916,0.0481695137439219
"Haleigh Timmer","Oklahoma St",31,159,66,0.415094339622642,0.3494559303309,0.0656384092917413
"En'Dya Buford","Old Dominion",30,127,52,0.409448818897638,0.349161251693482,0.0602875672041557
"Joi Williams","Radford",30,208,79,0.379807692307692,0.349018735989676,0.0307889563180168
"Ally Sweeney","Richmond",32,131,53,0.404580152671756,0.348939109289385,0.0556410433823707
"Madison Mathiowetz","S Dakota St",31,132,55,0.416666666666667,0.348771952353582,0.0678947143130846
"Logan Nissley","Nebraska",28,139,60,0.431654676258993,0.348104783295416,0.083549892963577
